num_keys,r,layers,epsilon,bucket,build_time,query_time,space,metadata,Z
10000000,1,2,-0.2,32,6801860397,1987327350,12247538,500002,11747536
10000000,1,2,-0.2,64,6924540043,1969877560,11913714,250002,11663712
10000000,1,2,-0.2,128,6140858774,1956257709,11500593,125002,11375591
10000000,1,2,-0.2,256,6580553376,1970570684,11960349,62502,11897847
10000000,1,2,-0.15,32,5889803225,1954165547,11835513,531252,11304261
10000000,1,2,-0.15,64,6433278443,1948941311,11698866,265626,11433240
10000000,1,2,-0.15,128,6080274497,1940741952,11384193,132814,11251379
10000000,1,2,-0.15,256,6428492444,1939181087,11400652,66408,11334244
10000000,1,2,-0.1,32,5533814494,1930104989,11516022,562502,10953520
10000000,1,2,-0.1,64,6377688385,1920399724,11372719,281252,11091467
10000000,1,2,-0.1,128,5899087571,1921246963,11190617,140626,11049991
10000000,1,2,-0.1,256,6084744407,1920143794,11207579,70314,11137265
10000000,1,2,-0.05,32,5313284489,1902131125,11167656,593752,10573904
10000000,1,2,-0.05,64,5412223489,1899076427,10862580,296876,10565704
10000000,1,2,-0.05,128,5669590072,1891174932,10847855,148438,10699417
10000000,1,2,-0.05,256,5583132332,1898810997,10822351,74220,10748131
10000000,1,2,0,32,4615643464,1873934800,10808981,625002,10183979
10000000,1,2,0,64,4741310057,1863228928,10504898,312502,10192396
10000000,1,2,0,128,4817118810,1861623386,10370210,156252,10213958
10000000,1,2,0,256,4855405085,1865096363,10336468,78126,10258342
10000000,1,2,0.05,32,4313250958,1867805978,11161410,656252,10505158
10000000,1,2,0.05,64,4315325953,1860572416,10832935,328126,10504809
10000000,1,2,0.05,128,4328414943,1859677690,10668756,164064,10504692
10000000,1,2,0.05,256,4349029411,1854309762,10587406,82032,10505374
10000000,1,2,0.1,32,4211880592,1864517412,11687687,687502,11000185
10000000,1,2,0.1,64,4219523137,1886553116,11343905,343752,11000153
10000000,1,2,0.1,128,4227736284,1857410771,11171957,171876,11000081
10000000,1,2,0.1,256,4189475888,1854379574,11086033,85938,11000095
10000000,1,2,0.15,32,4182268485,1881464423,12218753,718752,11500001
10000000,1,2,0.15,64,4149657003,1859061016,11859377,359376,11500001
10000000,1,2,0.15,128,4170572229,1865568684,11679689,179688,11500001
10000000,1,2,0.15,256,4174744314,1863800367,11589845,89844,11500001
10000000,1,2,0.2,32,4170156487,1871366787,12750003,750002,12000001
10000000,1,2,0.2,64,4153035171,1864990185,12375003,375002,12000001
10000000,1,2,0.2,128,4149970417,1856662968,12187503,187502,12000001
10000000,1,2,0.2,256,4147198433,1855532669,12093753,93752,12000001
10000000,1,3,-0.2,32,6360605820,2025268068,12493404,663034,11830370
10000000,1,3,-0.2,64,6316111944,2009216449,11996953,329678,11667275
10000000,1,3,-0.2,128,6170385171,1992966885,11662219,163434,11498785
10000000,1,3,-0.2,256,6129484240,2007418321,12090604,83778,12006826
10000000,1,3,-0.15,32,5782026120,1982398865,12051735,666802,11384933
10000000,1,3,-0.15,64,6058503906,1967529131,11723920,333476,11390444
10000000,1,3,-0.15,128,6068440310,1960957414,11488539,166090,11322449
10000000,1,3,-0.15,256,5943645128,1959253403,11375717,82764,11292953
10000000,1,3,-0.1,32,5446302661,1943026630,11607811,662366,10945445
10000000,1,3,-0.1,64,5776634126,1931974615,11335671,332500,11003171
10000000,1,3,-0.1,128,5858105900,1933286436,11223171,166810,11056361
10000000,1,3,-0.1,256,5761294869,1927819010,11135709,83364,11052345
10000000,1,3,-0.05,32,5086490482,1912322552,11134237,649284,10484953
10000000,1,3,-0.05,64,5348520968,1895989858,10853479,325786,10527693
10000000,1,3,-0.05,128,5485916887,1897810359,10774999,163928,10611071
10000000,1,3,-0.05,256,5532284694,1902056486,10806679,82670,10724009
10000000,1,3,0,32,4643840728,1872978655,10802980,635290,10167690
10000000,1,3,0,64,4731792331,1870511049,10493231,317890,10175341
10000000,1,3,0,128,4805893380,1860112964,10352872,159220,10193652
10000000,1,3,0,256,4854748735,1858452197,10318110,79942,10238168
10000000,1,3,0.05,32,4334298552,1864852853,11160734,656516,10504218
10000000,1,3,0.05,64,4339913285,1858106699,10832070,328246,10503824
10000000,1,3,0.05,128,4326643979,1852751953,10668442,164132,10504310
10000000,1,3,0.05,256,4328038545,1852955807,10587041,82072,10504969
10000000,1,3,0.1,32,4204968333,1873718648,11687574,687508,11000066
10000000,1,3,0.1,64,4188202595,1858134757,11343822,343756,11000066
10000000,1,3,0.1,128,4214589105,1858274654,11171944,171878,11000066
10000000,1,3,0.1,256,4217520007,1858922182,11086008,85940,11000068
10000000,1,3,0.15,32,4168297187,1865833595,12218753,718752,11500001
10000000,1,3,0.15,64,4165256488,1861114870,11859377,359376,11500001
10000000,1,3,0.15,128,4166718966,1859363652,11679689,179688,11500001
10000000,1,3,0.15,256,4147196627,1863300369,11589845,89844,11500001
10000000,1,3,0.2,32,4148893813,1863562850,12750003,750002,12000001
10000000,1,3,0.2,64,4153551106,1866893834,12375003,375002,12000001
10000000,1,3,0.2,128,4155821590,1861118215,12187503,187502,12000001
10000000,1,3,0.2,256,4150179665,1854221498,12093753,93752,12000001
10000000,1,4,-0.2,32,6116691426,2043218116,12554596,716094,11838502
10000000,1,4,-0.2,64,6289216790,2020501061,12075453,355126,11720327
10000000,1,4,-0.2,128,6168507012,2005010177,11698727,175078,11523649
10000000,1,4,-0.2,256,6079646930,2023634866,12160187,90918,12069269
10000000,1,4,-0.15,32,5750295866,1986068347,12104905,701298,11403607
10000000,1,4,-0.15,64,6027064271,1993025141,11760054,350812,11409242
10000000,1,4,-0.15,128,6050689172,1967302503,11511130,174428,11336702
10000000,1,4,-0.15,256,5782676222,1957877932,11358595,86790,11271805
10000000,1,4,-0.1,32,5366421771,1940489357,11628795,680404,10948391
10000000,1,4,-0.1,64,5728221774,1944375493,11341045,341766,10999279
