num_keys,bucket_size,leaf_size,total_bits,build_time,hashing_time,bijection_time,splitting_time,splitting_tree,unary,fixed,bucket_prefixes,burr
1e+06,10,2,3727936,1325402519,1176174079,120587030,258731588,2222107,2051055,171052,525036,980793
1e+06,10,2,3660378,1289881977,1179011027,119653459,247493428,2154764,1983471,171293,525036,980578
1e+06,50,2,3987977,1821449379,1501809772,127280048,587580120,2834621,2492584,342037,132537,1020819
1e+06,50,2,3952125,1797222128,1514995188,126943736,575075149,2793264,2451114,342150,137538,1021323
1e+06,100,2,4077687,2179232227,1645988694,132568402,826581629,2978792,2605961,372831,71288,1027607
1e+06,100,2,4040766,2170722464,1649301176,132460880,816689402,2941044,2568383,372661,73163,1026559
1e+06,500,2,4268692,3389163858,2047104215,135229926,1840696867,3220325,2813826,406499,16070,1032297
1e+06,500,2,4228685,3373486350,2060717244,135006989,1828496543,3181376,2774884,406492,17243,1030066
1e+06,1000,2,4314556,4184603917,2234069742,135295414,2554415927,3274342,2862574,411768,8813,1031401
1e+06,1000,2,4286876,4150106754,2237431912,135334305,2523693531,3247379,2835658,411721,8875,1030622
1e+06,1500,2,4276293,4866206176,2350909641,135426116,3164113849,3239369,2835705,403664,6007,1030917
1e+06,1500,2,4245656,4872956155,2349205608,135481508,3170268289,3207808,2804173,403635,6091,1031757
1e+06,2000,2,4346467,5336208661,2407394164,135454563,3620948614,3310173,2895810,414363,4551,1031743
1e+06,2000,2,4324007,5364633601,2409252994,135407897,3644582691,3286775,2872447,414328,4540,1032692
1e+06,10,3,3301448,1218288800,1112442910,141132398,212102282,1779215,1543137,236078,525036,997197
1e+06,10,3,3286200,1221435517,1122381606,141402698,204183671,1762310,1526283,236027,525036,998854
1e+06,50,3,3368307,1740322631,1448626668,146604353,536269968,2210528,1826173,384355,132537,1025242
1e+06,50,3,3365858,1732232222,1460575975,146964925,529547010,2204865,1820484,384381,137538,1023455
1e+06,100,3,3405133,2090861579,1598664805,150508704,772635359,2305930,1891359,414571,71288,1027915
1e+06,100,3,3402135,2079016838,1597323504,149942487,765070864,2301312,1886781,414531,73163,1027660
1e+06,500,3,3460926,3280331591,1986551896,151024917,1775481657,2412488,1964557,447931,16070,1032368
1e+06,500,3,3462792,3273821334,2005598755,151132732,1761151166,2414887,1966951,447936,17243,1030662
1e+06,1000,3,3480127,4134744575,2168794028,151311031,2530485844,2440118,1986810,453308,8813,1031196
1e+06,1000,3,3481794,4050202408,2177535640,151159465,2461269869,2440611,1987320,453291,8875,1032308
1e+06,1500,3,3502227,4701015276,2271814449,152528434,3066101564,2463028,2016926,446102,6007,1033192
1e+06,1500,3,3502183,4773857598,2264276345,152497780,3127352185,2463287,2017182,446105,6091,1032805
1e+06,2000,3,3493743,5221185684,2341919866,151454794,3533193680,2457065,2001082,455983,4551,1032127
1e+06,2000,3,3497407,5225851723,2334033911,151041653,3550465170,2460838,2004830,456008,4540,1032029
1e+06,10,4,2662955,1126794040,1037051897,132252168,182782822,1131988,960936,171052,525036,1005931
1e+06,10,4,2654353,1139351971,1040975603,132886210,178334708,1123130,951837,171293,525036,1006187
1e+06,50,4,2590017,1595127511,1371933585,132819906,503950966,1430684,1089823,340861,132537,1026796
1e+06,50,4,2598021,1586576652,1382419591,132662035,495488144,1433082,1092112,340970,137538,1027401
1e+06,100,4,2597621,1954932769,1522691310,137585573,739726971,1496531,1125254,371277,71288,1029802
1e+06,100,4,2597233,1944645105,1514906447,137186793,728270670,1494112,1122813,371299,73163,1029958
1e+06,500,4,2629457,3144337213,1873993891,137825840,1740843998,1582465,1177261,405204,16070,1030922
1e+06,500,4,2632889,3105010346,1890570484,137839487,1722090896,1583353,1178131,405222,17243,1032293
1e+06,1000,4,2642779,3946862380,2066245134,138080676,2482913490,1601216,1190779,410437,8813,1032750
1e+06,1000,4,2642054,3966827756,2063788556,138262018,2495877477,1601134,1190682,410452,8875,1032045
1e+06,1500,4,2645198,4527985793,2169224364,137648435,2988845613,1607047,1202285,404762,6007,1032144
1e+06,1500,4,2646666,4577245344,2162431292,137316736,3043010437,1608152,1203400,404752,6091,1032423
1e+06,2000,4,2650659,5076010778,2211369918,137752155,3521620159,1613037,1199972,413065,4551,1033071
1e+06,2000,4,2652133,5124973554,2220389453,137984837,3564194722,1614324,1201235,413089,4540,1033269
1e+06,10,5,2994350,1101641076,1010379548,160046772,157230048,1457253,1332449,124804,525036,1012061
1e+06,10,5,2986521,1099874158,1011798141,160463998,155748822,1449729,1324714,125015,525036,1011756
1e+06,50,5,2999617,1631255281,1375712636,168301981,472785504,1838530,1570740,267790,132537,1028550
1e+06,50,5,3001819,1597958484,1381176320,167673202,459280277,1835743,1567985,267758,137538,1028538
